,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
param_lfo_2_offset,-0.023011171719232656,-0.11083837742716604,-0.04311513824257328,0.02424104052848974,0.025804505002546173,0.032766149822690556,-0.19739159771078446,-0.0971475356376087,0.07141737355306862,-0.07853833051014211,0.01133782256367773,-0.06736766754760287,-0.21418639729328232,0.20716031147456013,0.21344552801576563,0.058206240020793526,-0.03840341622861582,-0.14048915891115557,0.051797808174020736,-0.11392176600488255
param_mix_a,-0.015731576689036228,-0.08275491240362193,0.026377649497100225,0.04931140284794016,-0.022040173463438846,-0.09177133528568211,0.01931389304781479,0.0242018574954705,0.29555537892944195,-0.007734130046711919,0.3418047499171715,-0.018825360842381313,0.09508394179195066,0.23940105233529893,0.10380400060213664,-0.033189166361361676,0.11439706310803363,-0.07177137642797035,0.0027664424822921646,-0.09759765081938084
param_mix_b,-0.0014941891093575817,-0.026412324858055152,0.011552497985502288,0.10851481187641118,0.05055690909872211,-0.10465827587830438,0.06360960623016214,0.011859777548036368,0.1642582714740736,-0.018282852004899642,0.40983293810861615,-0.09716625251383536,0.23596686062456537,0.20874292410705123,0.00927112135949699,-0.012760365756932037,0.12569076494605144,-0.00698780762854513,0.0642519928618093,-0.07983183570997682
param_modenv_1_attack,0.039258999329882374,0.08486688270801432,-0.003881324418941511,0.1928863672406224,0.1428419103697323,-0.07668928953326125,-0.09634801788305745,0.1424174027672364,-0.1433765619177231,0.023435280262364057,0.0886911063252045,0.11756400893320415,0.0069384745406467635,0.10727903856520254,-0.1557282293696364,0.05059774436711762,-0.10457348098835308,-0.037152114528992766,0.038451767965308886,-0.08129856788100828
param_modenv_1_decay,-0.01518099100975108,-0.031188802815271532,0.04434088124388109,0.22219575912977022,0.17003914280286925,-0.08262975910259969,-0.021617483816286136,0.21312357701580606,-0.18840394647881023,-0.06340455878816725,0.18439688309469804,0.1757934405096867,-0.044812192067728344,-0.07874770247246095,-0.0034955778912806627,0.03674012404844891,-0.016452891109512296,-0.03364252140185176,-0.014270911614051437,-0.01294874292388596
param_modenv_1_release,-0.023711969703859415,0.0032175578144178975,0.052396765389054405,0.19782382259349485,0.20735608303336642,-0.13657991150204382,-0.006798355904242452,0.2179250500585154,-0.2203178894016294,-0.05131475841027952,0.16769493103521826,0.09593642895064983,-0.019474783868618752,-0.06926468018213677,0.026534500773566946,0.02928048388927278,-0.047720495044366366,-0.021829581990156117,-0.0204164965140842,-0.037632775111713944
param_modenv_1_sustain,0.0024740761410134613,0.0134402568786751,0.04112674544223434,0.1050796203763402,0.14420285421932344,-0.03875107421195447,-0.061650337072208974,0.043943211726078284,-0.12424799216064374,0.09776273932756274,0.011526293430990368,0.08475916143917163,0.03614493564968625,0.17886594312672072,-0.13984374234633137,0.030639319453972698,-0.10388689896378289,-0.07673222443835938,-0.05463631832650524,-0.09497489395308374
param_modenv_2_attack,0.044019318765640865,0.06319261045094399,0.24797645331716955,0.09596928369439016,-0.01999866790439916,0.1262634742616982,-0.15008938157037274,-0.16703770825660635,-0.12031846247299648,0.09692419003633684,-0.03060240107102878,-0.0015366576017602478,0.10384347454592463,0.24117445195599424,0.04032010475000871,0.0017282187043739785,-0.021256431933216125,-0.0012388753844257783,0.06638934991782112,0.1154340232706287
param_modenv_2_decay,-0.02228536002941263,0.012967596663382406,0.30663324870680786,0.022464106858334863,-0.08187255197372063,0.10590948190736303,-0.1450508557668314,0.0071434887081640265,0.023438416537791548,-0.1251494121415971,0.10084404600743459,-0.03913260203081963,-0.0345504206280645,-0.14269982633525488,0.012451167330436268,-0.2435897844717465,0.07647338036250653,-0.019685561843658966,-0.05703303096440288,0.023696288012509493
param_modenv_2_release,0.02442266971056815,-0.00797821410977432,0.3580024697014028,0.06014693477679051,-0.029969212331324265,0.04846588554204311,-0.1512331569744904,-0.12526645402409994,-0.05373666810203198,-0.03567075416967121,0.04927535107773411,-0.09003682018107059,-0.03578493564049073,-0.011797070358503468,0.10100923547094887,-0.17896603582598428,0.03769584409698614,-0.038473822521198034,-0.02374816127443987,0.05568115492829232
param_modenv_2_sustain,0.0732083063085477,-0.013939001423434013,0.18502015537511954,0.10563623952160987,0.016095756240403842,0.03182310002433618,-0.09903434056390774,-0.2062776693185881,-0.1715667006159014,0.12198007319189197,-0.11406722234812951,-0.023623220131747582,0.12449374876270489,0.25369851652230146,0.08638673352864018,0.0635360543320913,0.032873941083200416,-0.029063127552503117,0.04450305653303177,0.04757409110346351
param_modwheel,0.015388623696730459,0.015093240255936615,0.07566737198628415,-0.056098018327806747,0.012228039105161324,-0.10366925921050053,0.15904571152198826,0.013279607227542758,-0.12167345477821782,-0.030541681287100487,-0.005044843476010594,0.20867928597360483,-0.15717089597353026,0.03425640051758818,0.07898115552648009,-0.07344681358137428,0.16635064991903992,0.01674406943535004,0.0989088790765605,0.0389590611064388
param_osc_a1_detune,0.06408044063454023,0.2134048988042455,-0.06700406997222591,-0.1069757429476005,0.11163575436855662,0.09369324366719237,0.048099474733698494,0.09936034883140617,0.05077075915398922,0.08855282352876764,0.1353177917821849,-0.013502517619538641,-0.017671384197617147,-0.02087026238455427,0.02453751801817779,0.04031581987242842,0.03352293451567915,-0.011933384331096381,0.03708024671222461,-0.05051356166978791
param_osc_a1_fine,0.007227239012039285,-0.03016464912447436,0.02762948329351144,0.014966091424947866,-0.020400017545252717,-0.08807389286097972,0.045469186685786804,-0.01750389428737458,-0.054136794399298804,0.0006822941598039022,0.06598856448764216,0.03128048512028694,-0.10281698973996983,-0.0013224460720131887,0.0855715825001793,-0.07944967476254768,-0.020886978108750148,0.144865074671672,0.05560948104606946,0.15601776986890697
param_osc_a1_note,0.006902929166283701,0.0008121672638036758,0.013739332152777364,-0.011404095317388166,0.008988167063348134,0.015083832859431904,0.0015568006904390507,-0.005101374259560653,-0.003080541105707298,0.003613216102899979,-0.004428441320433357,0.026557198404628207,-0.01060014426732557,-0.008416552547229809,-0.010242876137351005,-0.02944523840992986,0.02296437178301802,0.033701752961648825,0.04336358565566567,-0.0091655656357087
